transmission;10;nom
virus;8;nom
risk;5;nom
disease;5;nom
infection;4;nom
health;4;nom
factor;4;nom
shed;3;ver
incubation;3;nom
include;3;ver
environmental;3;nr
control;3;nom
viral;2;nr
surface;2;nom
study;2;nom
stability;2;nom
specifically;2;nr
setting;2;nom
report;2;nom
potential;2;nom
persistence;2;nom
period;2;nom
patient;2;adj
natural;2;nom
model;2;nom
literature;2;nom
learn;2;ver
history;2;nom
exist;2;ver
effectiveness;2;nom
economic;2;nr
diagnostic;2;nom
community;2;nom
care;2;nom
woman;1;nom
virulent;1;nr
vary;1;ver
usefulness;1;nom
urine;1;nom
understand;1;ver
transmissible;1;nr
tool;1;nom
theme_transmission;1;nr
symptomatic;1;nr
susceptibility;1;nom
survival;1;nom
substrate;1;nom
strategy;1;nom
steel;1;nom
status;1;nom
stainless;1;nom
sputum;1;nom
source;1;nom
socio;1;nr
smoke;1;ver
severity;1;nom
serial;1;nom
secondary;1;nom
seasonality;1;nr
science;1;nom
role;1;nom
response;1;nom
respiratory;1;nr
reproductive;1;nom
reduce;1;ver
recovery;1;nom
range;1;nom
pulmonary;1;nr
public;1;nom
provide;1;ver
protective;1;nr
product;1;nom
process;1;nom
prevention;1;nom
prevent;1;ver
prevalence;1;nom
pregnant;1;nr
pre;1;nr
ppe;1;nr
population;1;nom
plastic;1;nom
physical;1;nom
phobic;1;nom
phenotypic;1;nr
personal;1;nom
person;1;nom
origin;1;nom
numb;1;adj
neonate;1;nom
nasal;1;nom
multitude;1;nom
movement;1;nom
morbidity;1;nom
monitor;1;nom
mode;1;nom
mitigation;1;nom
measure;1;nom
matter;1;nom
material;1;nom
long;1;adj
interval;1;nom
information;1;nom
inform;1;ver
infect;1;ver
individual;1;nom
improve;1;ver
implementation;1;nom
impact;1;nom
immunity;1;nom
immune;1;nom
hydrophilic;1;nr
human;1;nom
hospitalize;1;ver
high;1;adj
group;1;nom
genetics;1;nr
fecal;1;nr
fatality;1;nom
evolution;1;nom
equipment;1;nom
epidemiological;1;nr
epidemic;1;nom
environment;1;nom
effort;1;nom
effective;1;nom
dynamic;1;nom
distribution;1;nom
discharge;1;nom
difference;1;nom
determine;1;ver
decontamination;1;nom
datum;1;nom
covid;1;nr
coronavirus;1;nr
copper;1;nom
contagious;1;nr
clinical;1;nr
child;1;nom
charge;1;nom
change;1;nom
blood;1;nom
behavioral;1;nr
basic;1;nom
asymptomatic;1;nr
area;1;nom
animal;1;nom
age;1;nom
affect;1;ver
adhesion;1;nom
adaptation;1;nom
